1	891.5013	1270.5068999999999	4096.5307	24148.3917
5001	798.1333	1279.4512	4762.6895	29865.2341
10001	805.4525	1457.6611	5476.6762	34950.1127
15001	938.8863	1535.8354	6115.9057	39891.2628
20001	816.2177	1646.4671	6705.8872	44508.737
25001	825.6866	1718.5148	7253.509599999999	48858.5872
30001	830.8223	1877.5123	7813.5596	52893.0224
35001	838.7059	1832.4671	8289.6309	57198.5597
40001	842.4844	1968.3673	8738.5447	60197.8473
45001	848.7118	1949.519	9082.2007	63453.604400000004
50001	854.3808	1935.6831	9486.9674	66454.9372
55001	854.903	2242.656	9852.2969	69316.5901
60001	854.3699	2011.9934	10154.5699	71519.081
65001	989.8166	2048.2474	10410.7488	73886.7584
70001	859.4102	2231.1338	10614.0484	75623.0374
75001	854.0159	2316.2526	10828.2335	77050.5956
80001	854.5395	2098.8346	10961.9521	78325.28450000001
85001	855.6426	2113.068	11064.905200000001	79347.7177
90001	986.6727	2128.2385	11177.897	79995.4947
95001	856.8298	2119.7865	11223.8982	80864.4036
